Date,Source_Type,Text,Source_Link,Cleaned_Text
2024-02-02,Blog,"Apple's Vision Pro is a technical marvel that showcases the future of spatial computing, but its $3,500 price tag and limited app ecosystem make it a tough sell for most consumers.",https://techcrunch.com/2024/02/02/apple-vision-pro-review/,apple vision pro technical marvel showcase future compute price tag limited app ecosystem make tough sell consumer
2024-06-10,Blog,"The Quest 3 is Meta's best headset yet, offering improved passthrough AR, better graphics, and a more comfortable design at a reasonable price point.",https://www.theverge.com/23906313/meta-quest-3-review-vr-mixed-reality-headset,quest metas best headset yet offering improve passthrough well graphic comfortable design reasonable price point
2024-01-15,Blog,"NVIDIA launched new AI tools and frameworks designed to accelerate the development of industrial digital twins for manufacturing, logistics, and robotics applications.",https://venturebeat.com/ai/nvidia-announces-ai-foundations-for-industrial-digital-twins/,nvidia launch tool framework design accelerate development industrial digital twin manufacturing logistics robotics
2023-11-08,Blog,"At Meta Connect 2023, the company unveiled Quest 3, new AI features, and a vision for how mixed reality will blend physical and digital worlds.",https://www.roadtovr.com/meta-connect-2023-quest-3-ai-mixed-reality/,meta connect company unveiled quest feature vision mixed reality blend physical digital
2024-03-18,Blog,"Despite strong technical capabilities, PSVR2 has faced slower than expected adoption, leading Sony to reduce manufacturing output.",https://www.uploadvr.com/psvr2-sales-struggle-production-cut/,despite strong technical capability psvr face slow expect adoption lead sony reduce manufacturing output
2023-09-27,Blog,"Tech giants and startups are developing AI systems that can reason about physics, 3D space, and object interactions - moving beyond text-based LLMs.",https://www.wired.com/story/ai-physical-world-spatial-intelligence/,tech giant startup develop reason physic space object interaction move beyond textbased
2024-05-14,Blog,"Unity reverses its unpopular runtime fee policy after massive developer backlash, but the damage to developer trust may be lasting.",https://arstechnica.com/gaming/2024/05/unity-runtime-fee-reversed/,unity revers unpopular runtime fee policy massive developer backlash damage developer trust may last
2024-07-22,Blog,"BMW leverages NVIDIA's Omniverse platform to create digital twins of entire factories, optimizing production lines before physical construction.",https://www.forbes.com/sites/bernardmarr/2024/07/22/bmw-nvidia-omniverse-factory-digital-twin/,bmw leverage nvidias omniverse platform create digital twin entire factory optimize production line physical construction
2023-12-06,Blog,Apple's Vision Pro spatial computer will remain US-exclusive through mid-2024 as the company refines manufacturing and localization.,https://www.zdnet.com/article/apple-vision-pro-international-delay/,apple vision pro computer remain usexclusive mid company refines manufacturing localization
2024-04-03,Blog,"Meta's Chief AI Scientist argues that true AI requires world models that understand physics and causality, not just pattern matching on text.",https://www.engadget.com/yann-lecun-llms-agi-world-models-interview.html,metas chief scientist argues true require understand physic causality pattern match text
2024-08-12,Blog,"Niantic continues to streamline its portfolio, shutting down multiple AR games to focus on its core franchises and AR platform.",https://techcrunch.com/2024/08/12/niantic-shuts-down-ar-games/,niantic continue streamline portfolio shut multiple game focus core franchise platform
2023-10-11,Blog,"Microsoft integrates its Mesh platform into Teams, allowing users to join meetings as avatars in shared 3D spaces.",https://www.theverge.com/2023/10/11/microsoft-mesh-teams-mixed-reality,microsoft integrates mesh platform team allow user join meeting avatar share space
2024-09-05,Blog,Siemens adds generative AI capabilities to its Xcelerator platform for industrial digital twins and simulation.,https://venturebeat.com/automation/siemens-industrial-metaverse-ai/,siemens add generative capability xcelerator platform industrial digital twin simulation
