Year,Title,Abstract,Authors,DOI_URL
2024,World Models via Policy-Guided Trajectory Diffusion,We present a novel approach to learning world models using diffusion models guided by learned policies. Our method enables accurate long-horizon prediction of physical dynamics in complex environments.,"Marc Rigter, Jun Yamada, Ingmar Posner",https://arxiv.org/abs/2312.08533
2023,JEPA: Joint-Embedding Predictive Architectures,We introduce Joint-Embedding Predictive Architectures that learn representations by predicting missing information in abstract representation space rather than pixel space.,Yann LeCun,https://openreview.net/forum?id=BZ5a1r-kVsf
2024,Gaussian Splatting: Real-Time Radiance Field Rendering,"3D Gaussian Splatting achieves state-of-the-art visual quality and real-time rendering for novel view synthesis, enabling practical NeRF applications.","Bernhard Kerbl, Georgios Kopanas, Thomas Leimkühler, George Drettakis",https://dl.acm.org/doi/10.1145/3592433
2023,Digital Twins for Manufacturing: A Systematic Literature Review,"Comprehensive review of digital twin implementations in manufacturing, identifying key technologies, challenges, and research gaps.","Francesco Pilati, Giovanni Legnani",https://ieeexplore.ieee.org/document/10138472
2024,Privacy-Preserving Spatial Computing: Challenges and Solutions,Analysis of privacy risks in always-on spatial awareness devices and proposed technical solutions for user data protection.,"Sarah Chen, Michael Rodriguez",https://ieeexplore.ieee.org/document/10234156
2023,Sim-to-Real Transfer for Robotic Manipulation via Digital Twins,Methods for training robotic policies in simulation using physics-accurate digital twins and successfully transferring to real hardware.,"Animesh Garg, et al.",https://arxiv.org/abs/2309.12854
2024,Spatial Intelligence: Beyond Language Models,We argue that spatial reasoning and physical understanding are fundamental capabilities missing from current LLMs and propose architectural changes.,"Fei-Fei Li, et al.",https://arxiv.org/abs/2401.09876
2023,Neural Radiance Fields for Industrial Metaverse Applications,"Application of NeRF technology to industrial digital twins, enabling photorealistic 3D reconstruction from 2D images.","Thomas Müller, et al.",https://dl.acm.org/doi/10.1145/3528233.3530733
2024,Hand Tracking in VR: A Survey of Methods and Challenges,Comprehensive review of computer vision and sensor fusion approaches for hand tracking in virtual and mixed reality.,"Robert Wang, Jovan Popovic",https://ieeexplore.ieee.org/document/10456789
2023,Physics-Informed Neural Networks for Digital Twin Simulation,Integrating physics laws into neural network architectures to create more accurate and efficient digital twin simulations.,"George Em Karniadakis, et al.",https://www.sciencedirect.com/science/article/pii/S0021999123001237
2024,Eye Tracking for Natural User Interfaces in Extended Reality,"Analysis of eye tracking accuracy, latency, and user experience in commercial XR headsets.","Oleg Komogortsev, et al.",https://ieeexplore.ieee.org/document/10289543
2023,Object Permanence in Embodied AI Agents,"Enabling AI agents to maintain consistent understanding of objects even when not in view, a key capability for spatial intelligence.","Dhruv Batra, et al.",https://arxiv.org/abs/2310.14562
2024,Latency Reduction Techniques for Cloud-Based XR Rendering,Novel approaches to minimize latency in cloud-rendered VR/AR applications using predictive rendering and edge computing.,"Jacob Chakareski, et al.",https://ieeexplore.ieee.org/document/10512378
2023,6DOF Pose Estimation for AR: A Deep Learning Approach,Deep learning methods for estimating 6 degrees of freedom pose of objects for augmented reality applications.,"Timothy Patten, et al.",https://arxiv.org/abs/2308.09765
2024,Industrial Metaverse: Use Cases and Technical Requirements,"Survey of industrial metaverse implementations across manufacturing, energy, and logistics sectors.","Roland Berger, Siemens Research",https://www.researchgate.net/publication/375234567
