Timestamp,Handle,Tweet,Hashtags,Tweet_URL
2024-02-03,@ow,Vision Pro is genuinely incredible technology. But the killer app isn't here yet. Give developers time.,#VisionPro #SpatialComputing,https://twitter.com/ow
2024-04-18,@ylecun,World models are the path to machines that understand causality and physics. LLMs are just pattern matchers.,#AI #WorldModels,https://twitter.com/ylecun
2024-09-25,@nvidia,New NVIDIA Omniverse updates enable real-time collaboration on industrial digital twins at unprecedented scale.,#Omniverse #DigitalTwins,https://twitter.com/nvidia
2024-06-11,@Meta,Quest 3 brings high-quality mixed reality to the masses at $499. This is the inflection point.,#Quest3 #MixedReality,https://twitter.com/Meta
2024-11-04,@karpathy,Spatial AI is underrated. The physical world has structure that text doesn't capture.,#SpatialAI #AI,https://twitter.com/karpathy
2024-03-07,@benedictevans,XR has been 'almost there' for a decade. Vision Pro is technically amazing but doesn't change that.,#VisionPro #XR,https://twitter.com/benedictevans
2024-07-29,@sama,Multimodal AI that understands 3D space will be more impactful than pure language models.,#AI #SpatialIntelligence,https://twitter.com/sama
2024-01-15,@scobleizer,"After trying Vision Pro, I'm convinced spatial computing is the next platform. Just give it 3-5 years.",#VisionPro #SpatialComputing,https://twitter.com/scobleizer
2024-10-12,@ballmatthew,"Industrial metaverse applications (digital twins, training) have clear ROI. Consumer metaverse still searching for PMF.",#Metaverse #DigitalTwins,https://twitter.com/ballmatthew
2024-05-22,@emollick,AI + XR for training is incredibly effective. Saw a surgical training demo that was transformative.,#AI #XR #MedTech,https://twitter.com/emollick
2024-08-19,@ID_AA_Carmack,"Still lots of engineering challenges in XR. Optics, ergonomics, battery life - all need another generation of work.",#VR #Engineering,https://twitter.com/ID_AA_Carmack
2024-12-06,@hardmaru,World models that can simulate physics enable entirely new approaches to robotics and embodied AI.,#WorldModels #Robotics,https://twitter.com/hardmaru
2023-11-15,@Apple,"Privacy in always-on spatial computing devices needs to be designed in from day one, not bolted on later.",#Privacy #SpatialComputing,https://twitter.com/Apple
2024-04-09,@unity,"We hear your feedback. Unity is committed to transparent, developer-friendly pricing. Changes coming soon.",#Unity #GameDev,https://twitter.com/unity
2024-09-03,@UnrealEngine,Unreal Engine 5.4 brings major improvements to VR performance and mixed reality development workflows.,#UE5 #VR #MixedReality,https://twitter.com/UnrealEngine
