record_id,aspect,category,global_sentiment_score,global_sentiment_class,theme_latency_sentiment,theme_latency_class,theme_bandwidth_sentiment,theme_cost_sentiment,theme_complexity_sentiment,theme_device_mgmt_sentiment,theme_infrastructure_sentiment,theme_bandwidth_class,theme_device_mgmt_class,theme_infrastructure_class,theme_cost_class,theme_complexity_class
0,5G/6G Connectivity,5G_6G_Connectivity,0.4404,Positive,0.4404,Positive,,,,,,,,,,
1,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,0.0,,,0.0,,Neutral,Neutral,,,
2,5G/6G Connectivity,5G_6G_Connectivity,-0.2263,Negative,,,-0.2263,,,,,Negative,,,,
3,5G/6G Connectivity,5G_6G_Connectivity,0.3818,Positive,,,0.3818,,,,,Positive,,,,
4,5G/6G Connectivity,5G_6G_Connectivity,-0.3182,Negative,-0.3182,Negative,,,,,,,,,,
5,5G/6G Connectivity,5G_6G_Connectivity,0.7845,Positive,,,,,,,0.7845,,,Positive,,
6,5G/6G Connectivity,5G_6G_Connectivity,0.4939,Positive,,,,,,,0.4939,,,Positive,,
7,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,,,,,,,,,
8,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,0.0,,0.0,0.0,,Neutral,Neutral,Neutral,
9,5G/6G Connectivity,5G_6G_Connectivity,-0.0258,Neutral,,,,,,,,,,,,
10,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,0.0,Neutral,,,,,,,,,,
11,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,,,,,,,,,
12,5G/6G Connectivity,5G_6G_Connectivity,0.4404,Positive,0.4404,Positive,,,,,,,,,,
13,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,0.0,,,0.0,,Neutral,Neutral,,,
14,5G/6G Connectivity,5G_6G_Connectivity,-0.2263,Negative,,,-0.2263,,,,,Negative,,,,
15,5G/6G Connectivity,5G_6G_Connectivity,0.3818,Positive,,,0.3818,,,,,Positive,,,,
16,5G/6G Connectivity,5G_6G_Connectivity,-0.3182,Negative,-0.3182,Negative,,,,,,,,,,
17,5G/6G Connectivity,5G_6G_Connectivity,0.7845,Positive,,,,,,,0.7845,,,Positive,,
18,5G/6G Connectivity,5G_6G_Connectivity,0.4939,Positive,,,,,,,0.4939,,,Positive,,
19,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,,,,,,,,,
20,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,0.0,,0.0,0.0,,Neutral,Neutral,Neutral,
21,5G/6G Connectivity,5G_6G_Connectivity,-0.0258,Neutral,,,,,,,,,,,,
22,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,0.0,Neutral,,,,,,,,,,
23,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,,,,,,,,,
24,5G/6G Connectivity,5G_6G_Connectivity,0.4404,Positive,0.4404,Positive,,,,,,,,,,
25,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,0.0,,,0.0,,Neutral,Neutral,,,
26,5G/6G Connectivity,5G_6G_Connectivity,-0.2263,Negative,,,-0.2263,,,,,Negative,,,,
27,5G/6G Connectivity,5G_6G_Connectivity,0.3818,Positive,,,0.3818,,,,,Positive,,,,
28,5G/6G Connectivity,5G_6G_Connectivity,-0.3182,Negative,-0.3182,Negative,,,,,,,,,,
29,5G/6G Connectivity,5G_6G_Connectivity,0.7845,Positive,,,,,,,0.7845,,,Positive,,
30,5G/6G Connectivity,5G_6G_Connectivity,0.4939,Positive,,,,,,,0.4939,,,Positive,,
31,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,,,,,,,,,
32,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,0.0,,0.0,0.0,,Neutral,Neutral,Neutral,
33,5G/6G Connectivity,5G_6G_Connectivity,-0.0258,Neutral,,,,,,,,,,,,
34,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,0.0,Neutral,,,,,,,,,,
35,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,,,,,,,,,
36,5G/6G Connectivity,5G_6G_Connectivity,0.4404,Positive,0.4404,Positive,,,,,,,,,,
37,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,0.0,,,0.0,,Neutral,Neutral,,,
38,5G/6G Connectivity,5G_6G_Connectivity,-0.2263,Negative,,,-0.2263,,,,,Negative,,,,
39,5G/6G Connectivity,5G_6G_Connectivity,0.3818,Positive,,,0.3818,,,,,Positive,,,,
40,5G/6G Connectivity,5G_6G_Connectivity,-0.3182,Negative,-0.3182,Negative,,,,,,,,,,
