Year,Title,Abstract,Authors,DOI_URL
2024,Extended Reality (XR) Toward Building Immersive Solutions,"Comprehensive survey of XR technologies examining AR, MR, and VR implementations under Industry 4.0, analyzing key technologies and applications in industrial settings.",ACM Computing Surveys,https://dl.acm.org/doi/10.1145/3652595
2024,Augmented Object Intelligence with XR-Objects,A new interaction paradigm that aims to make physical objects digitally interactive in XR environments using spatial computing.,Google Research,https://research.google/blog/augmented-object-intelligence-with-xr-objects/
2024,IEEE VR 2024 Conference Proceedings,"Collection of research papers on virtual reality and 3D user interfaces, including motion capture data from 105,000 XR users and novel interaction techniques.",IEEE VR 2024,https://ieeevr.org/2024/program/papers/
2024,Warp: Differentiable Spatial Computing for Python,"Framework for spatial computing covering computer vision, 3D imaging, graphics, animation, and shape modeling with differentiable programming.",ACM SIGGRAPH 2024,https://dl.acm.org/doi/10.1145/3664475.3664543
2024,Spatial storytelling in the Newsroom: Reconstructing news events in 3D,"Visual stories create presence using computer vision techniques, spatial audio, and 3D tiles for immersive news experiences.",ACM SIGGRAPH 2024,https://dl.acm.org/doi/10.1145/3641233.3664727
2024,Everyday AR through AI-in-the-Loop,Exploring integration of artificial intelligence with augmented reality for practical everyday applications and user experiences.,arXiv,https://arxiv.org/abs/2412.12681
2024,Consumer Lab Extended Reality (XR) Study 2024,"Research across 10 global markets with XR users, revealing insights shaping consumer expectations for AR experiences over next five years.",Ericsson ConsumerLab,https://www.ericsson.com/en/reports-and-papers/consumerlab/reports/augmented-tomorrow-ar-experiences-beyond-smartphones-and-ar-filters
2024,Generative AI for Accessible and Inclusive Extended Reality,"Text-to-3D generation for XR content creation, examining AI-generated content impact on accessible and inclusive XR environments.",arXiv,https://arxiv.org/abs/2410.23803
2024,Digital Twin Technologies and Applications,"Survey of digital twin implementations across manufacturing, aerospace, automotive and energy using computational fluid dynamics and real-time simulation.",IEEE DigitalTwin 2024,https://www.ieee-smart-world.org/2024/digitaltwin/
2024,Towards Intelligent VR Training: Physiological Adaptation Framework,Framework for cognitive load and stress detection in VR training using real-time physiological data and adaptive systems.,arXiv,https://arxiv.org/abs/2504.06461
2024,Applications of Augmented Reality for Prehospital Emergency Care,Systematic review of randomized controlled trials examining AR use by EMS personnel for clinical and educational applications.,JMIR XR and Spatial Computing,https://xr.jmir.org/2025/1/e66222
2024,Towards spatial computing: recent advances in multimodal natural interaction,Recent advances in multimodal natural interaction for Extended Reality headsets and spatial computing systems.,Frontiers of Computer Science,https://link.springer.com/article/10.1007/s11704-025-41123-8
2024,Exploring Integration of Extended Reality and AI for Remote STEM Education,Dynamic gamification architecture for XR-AI virtual training environment to enhance STEM education through immersive adaptive learning.,arXiv,https://arxiv.org/abs/2509.03812
2024,Assistive XR research for disability at ACM ASSETS,Scoping review of 26 research papers focused on assistive XR solutions for people with disabilities from 2019-2023.,arXiv,https://arxiv.org/abs/2504.13849
2024,A Toolkit for Virtual Reality Data Collection,Comprehensive toolkit for collecting and analyzing data in virtual reality environments for research purposes.,arXiv,https://arxiv.org/abs/2412.17490
